Date_Ending_Hour,Store_ID,Manager,Projected_Sales,Sales,DT_TTL,Car_Count,KVS_Total,Scheduled_People,Actual_People,Reason_for_Labor_Diff,Reason_for_High_TTLs,Manager_Entering_Data,Timestamp,OEPE,Park_Percentage,Year_Month_Day_Hour,Air Temp,Dew Point Temp,Sea Level Pressure,Wind Direction,Wind Speed Rate,Sky Condition Total Coverage Code,Liquid Precipitation Depth Dimension - 1Hr Duration,Liquid Precipitation Depth Dimension - Six Hour Duration,Precip
2017-02-05 18:00:00,4462,JillianA,474.0,322.0,177.0,,108.0,,,,,,2017-02-05 18:15:06,,,2017-02-05 18:00:00,46.4,60,-9999,30,21,-9999,-9999,-9999,0
2017-02-06 18:00:00,4462,SarahU,646.0,481.0,147.0,,60.0,,,,,,2017-02-06 17:00:31,,,2017-02-06 18:00:00,39.2,20,-9999,180,72,-9999,-9999,-9999,0
2017-02-07 18:00:00,4462,JessicaB,608.0,604.0,154.0,,80.0,,,,,,2017-02-07 18:28:15,,,2017-02-07 18:00:00,37.4,20,-9999,20,26,-9999,-9999,-9999,0
2017-02-09 18:00:00,4462,JillianA,668.0,689.0,177.0,,91.0,,,,,,2017-02-09 18:03:58,,,2017-02-09 18:00:00,57.2,120,-9999,190,62,-9999,-9999,-9999,0
2017-02-14 18:00:00,4462,CharlesS,553.0,628.0,219.0,,95.0,,,,,,2017-02-14 18:20:25,,,2017-02-14 18:00:00,37.4,20,-9999,0,0,-9999,-9999,-9999,0
2017-02-15 18:00:00,4462,CharlesS,678.0,715.0,151.0,,59.0,,,,,,2017-02-15 18:02:38,,,2017-02-15 18:00:00,51.8,90,-9999,30,26,-9999,-9999,-9999,0
2017-02-17 18:00:00,4462,CharlesS,733.0,809.0,201.0,,132.0,,,,,,2017-02-17 18:06:43,,,2017-02-17 18:00:00,46.4,70,-9999,20,31,-9999,-9999,-9999,0
2017-02-18 18:00:00,4462,SarahU,745.0,534.0,167.0,,119.0,,,,,,2017-02-18 18:02:46,,,2017-02-18 18:00:00,48.2,70,-9999,180,21,-9999,-9999,-9999,0
2017-02-19 18:00:00,4462,JillianA,558.0,548.0,195.0,,136.0,,,,,,2017-02-19 18:04:20,,,2017-02-19 18:00:00,44.6,50,-9999,170,82,-9999,-9999,-9999,0
2017-02-21 18:00:00,4462,JessicaB,559.0,621.0,152.0,,89.0,,,,,,2017-02-21 18:00:10,,,2017-02-21 18:00:00,44.6,50,-9999,180,67,-9999,-9999,-9999,0
